TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS
track_0000948	artist_000087	album_000149	48/948.mp3	212.7	mood/theme---background
track_0000950	artist_000087	album_000149	50/950.mp3	248.0	mood/theme---background
track_0000951	artist_000087	album_000149	51/951.mp3	199.7	mood/theme---background
track_0002165	artist_000326	album_000347	65/2165.mp3	229.0	mood/theme---film
track_0002263	artist_000320	album_000366	63/2263.mp3	494.7	mood/theme---melancholic
track_0003346	artist_000517	album_000521	46/3346.mp3	195.0	mood/theme---calm	mood/theme---melodic
track_0003347	artist_000517	album_000521	47/3347.mp3	201.8	mood/theme---calm	mood/theme---melodic
track_0003348	artist_000517	album_000521	48/3348.mp3	253.3	mood/theme---calm	mood/theme---melodic
track_0003349	artist_000517	album_000521	49/3349.mp3	228.4	mood/theme---calm	mood/theme---melodic
track_0003350	artist_000517	album_000521	50/3350.mp3	194.7	mood/theme---calm	mood/theme---melodic
track_0003524	artist_000530	album_000552	24/3524.mp3	266.1	mood/theme---melodic
track_0004629	artist_000087	album_000718	29/4629.mp3	180.5	mood/theme---melodic
track_0004631	artist_000087	album_000718	31/4631.mp3	334.2	mood/theme---melodic
track_0004632	artist_000087	album_000718	32/4632.mp3	294.3	mood/theme---background
track_0004638	artist_000087	album_000718	38/4638.mp3	180.2	mood/theme---children
track_0004639	artist_000087	album_000718	39/4639.mp3	188.0	mood/theme---children	mood/theme---relaxing
track_0004640	artist_000087	album_000718	40/4640.mp3	262.4	mood/theme---background
track_0005634	artist_000811	album_000867	34/5634.mp3	233.1	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005635	artist_000811	album_000867	35/5635.mp3	232.6	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005636	artist_000811	album_000867	36/5636.mp3	277.4	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005637	artist_000811	album_000867	37/5637.mp3	335.0	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005638	artist_000811	album_000867	38/5638.mp3	225.7	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005640	artist_000811	album_000867	40/5640.mp3	227.3	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005641	artist_000811	album_000867	41/5641.mp3	215.1	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005642	artist_000811	album_000867	42/5642.mp3	217.3	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0005643	artist_000811	album_000867	43/5643.mp3	231.6	mood/theme---documentary	mood/theme---emotional	mood/theme---space
track_0006247	artist_000811	album_000960	47/6247.mp3	381.7	mood/theme---emotional
track_0006248	artist_000811	album_000960	48/6248.mp3	249.8	mood/theme---documentary
track_0006249	artist_000811	album_000960	49/6249.mp3	364.7	mood/theme---documentary	mood/theme---emotional
